# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "8" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "count.txt" "SRR13978643Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13978643Aligned.sortedByCoord.out.bam
YDL246C	IV	8683	9756	-	1074	1
YDL243C	IV	17577	18566	-	990	40
YDR387C	IV	1248154	1249821	-	1668	167
YDL094C	IV	289572	290081	-	510	5
YDR438W	IV	1338274	1339386	+	1113	84
YDR523C	IV	1485566	1487038	-	1473	3
YDR542W	IV	1523249	1523611	+	363	1
YDR492W	IV	1434924	1435874	+	951	397
YDR018C	IV	482670	483860	-	1191	24
YDL189W	IV	122216	123589	+	1374	283
YDR508C	IV	1466453	1468444	-	1992	1013
YDR462W	IV	1386073	1386516	+	444	112
YDR175C	IV	813193	814152	-	960	159
YDR186C	IV	832859	835492	-	2634	655
YDR150W	IV	755628	763874	+	8247	463
YDR243C	IV	948518	950284	-	1767	37
YDL182W	IV	133437	134723	+	1287	3649
YDR362C	IV	1196679	1198697	-	2019	67
YDR232W	IV	927452	929098	+	1647	438
YDR158W	IV	770357	771454	+	1098	991
YDR439W	IV	1339676	1340719	+	1044	89
YDL206W	IV	90176	92464	+	2289	65
YDR125C	IV	701397	702758	-	1362	43
YDR338C	IV	1147379	1149466	-	2088	73
YDR526C	IV	1491075	1491545	-	471	4
YDR533C	IV	1501447	1502160	-	714	152
YDR272W	IV	1009010	1009834	+	825	210
YDR197W	IV	851228	852397	+	1170	142
YDR512C	IV	1470500	1471063	-	564	69
YDR489W	IV	1431012	1431896	+	885	51
YDR299W	IV	1059627	1061231	+	1605	70
YDL015C	IV	426002	426934	-	933	750
YDR304C	IV	1071880	1072557	-	678	591
YDR271C	IV	1008395	1008766	-	372	0
YDL181W	IV	135179	135436	+	258	98
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	66
YDR085C	IV	614288	616150	-	1863	127
YDL097C	IV	285391	286695	-	1305	509
YDL139C	IV	211375	212046	-	672	33
YDR200C	IV	854279	856093	-	1815	96
YDR191W	IV	842337	843449	+	1113	7
YDR451C	IV	1361120	1362181	-	1062	121
YDR469W	IV	1399015	1399542	+	528	51
YDR470C	IV	1399706	1401214	-	1509	119
YDR105C	IV	665349	666770	-	1422	241
YDR483W	IV	1421157	1422485	+	1329	877
YDL123W	IV	241418	241840	+	423	221
YDL199C	IV	101290	103353	-	2064	64
YDR505C	IV	1456695	1459220	-	2526	235
YDL045W-A	IV	372248	372535	+	288	86
YDL045C	IV	372688	373608	-	921	78
YDR361C	IV	1195412	1196263	-	852	152
YDR406W-A	IV	1283799	1284044	+	246	2
YDR199W	IV	854175	854540	+	366	17
YDR266C	IV	1000104	1002023	-	1920	261
YDL242W	IV	18959	19312	+	354	18
YDR002W	IV	453045	453650	+	606	377
YDR214W	IV	892875	893927	+	1053	251
YDR130C	IV	715747	716622	-	876	82
YDL176W	IV	142097	144223	+	2127	82
YDR358W	IV	1190059	1191732	+	1674	207
YDR544C	IV	1525095	1525523	-	429	0
YDR460W	IV	1383811	1384776	+	966	63
